timestamp(ms),acc.x,acc.y,acc.z
6400,0.17225647,-0.611038208,-0.025115967
6420,0.159835815,-0.661071777,0.01574707
6440,0.110992432,-0.723403931,0.054138184
6460,0.134124756,-0.813034058,0.068130493
6480,0.127761841,-0.902770996,0.222869873
6500,0.109207153,-0.897857666,0.480285645
6520,0.255599976,-0.934951782,0.686431885
6540,0.398773193,-0.987991333,1.087646484
6560,0.485229492,-1.024383545,1.171035767
6580,0.580322266,-1.022750854,0.940689087
6600,0.751251221,-1.109329224,0.632156372
6620,0.575820923,-0.99230957,0.47164917
6640,0.268539429,-0.908035278,0.472686768
6660,0.129226685,-0.996795654,0.405349731
6680,0.092758179,-1.042877197,0.265441895
6700,0.156860352,-1.18421936,-0.030639648
6720,0.323226929,-1.240905762,-0.272994995
6740,0.399337769,-1.254348755,1.094589233
6760,0.354553223,-0.825378418,-0.242355347
6780,0.380050659,-1.194473267,-0.034851074
6800,-0.030059814,-0.778762817,-0.063323975
6820,0.234222412,-0.953338623,-0.612136841
6840,0.183746338,-1.088531494,-0.820053101
6860,0.335571289,-1.064804077,-0.431152344
6880,0.412796021,-1.116119385,-0.098892212
6900,0.352523804,-1.03414917,0.367706299
6920,0.189620972,-0.963226318,0.639877319
6940,0.040847778,-1.004867554,0.092788696
6960,0.099411011,-0.86706543,0.002410889
6980,0.257843018,-0.709747314,0.110275269
7000,0.286239624,-0.665313721,0.041931152
7020,0.313964844,-0.769561768,-0.07623291
7040,0.341278076,-0.854888916,-0.139709473
7060,0.356887817,-0.908126831,-0.126098633
7080,0.483108521,-0.837539673,0.135253906
7100,0.476028442,-0.829864502,0.242126465
7120,0.398452759,-0.898376465,0.319534302
7140,0.368850708,-0.967453003,0.095321655
7160,0.346176147,-1.026535034,-0.043685913
7180,0.329345703,-0.912902832,-0.007492065
7200,0.306915283,-0.830215454,0.043441772
7220,0.305511475,-0.911117554,-0.026351929
7240,0.310684204,-0.98085022,-0.096191406
7260,0.3097229,-1.039001465,-0.108398438
7280,0.320068359,-1.101654053,-0.062789917
7300,0.355239868,-1.161956787,-0.015869141
7320,0.392913818,-1.241149902,-0.02557373
7340,0.414321899,-1.289550781,0.081039429
7360,0.493408203,-1.255477905,0.217529297
7380,0.501907349,-1.253662109,0.148025513
7400,0.478668213,-1.260772705,-0.023422241
7420,0.462539673,-1.153305054,-0.113510132
7440,0.425811768,-1.08821106,-0.109420776
7460,0.323501587,-0.863800049,-0.018280029
7480,0.333312988,-0.935211182,-0.089736938
7500,0.355178833,-1.070205688,-0.10899353
7520,0.39630127,-1.240646362,0.053787231
7540,0.501785278,-1.221588135,0.147094727
7560,0.521896362,-1.082931519,0.168670654
7580,0.503204346,-0.898666382,0.164215088
7600,0.4349823,-0.788452148,0.083847046
7620,0.321411133,-0.687637329,0.056686401
7640,0.253479004,-0.570953369,0.052536011
7660,0.23248291,-0.512756348,0.066329956
7680,0.232620239,-0.532028198,0.057144165
7700,0.239257813,-0.596847534,0.02973938
7720,0.176376343,-0.625488281,-0.022827148
7740,0.148788452,-0.714569092,-0.032363892
7760,0.119171143,-0.734024048,0.035232544
7780,0.113037109,-0.671798706,0.16758728
7800,0.158493042,-0.710998535,0.280410767
7820,0.217453003,-0.785964966,0.427261353
7840,0.226211548,-0.824783325,0.589202881
7860,0.298583984,-0.900466919,0.743835449
7880,0.512908936,-1.327423096,0.736602783
7900,0.623382568,-1.357666016,0.914016724
7920,0.46661377,-1.155609131,0.943237305
7940,0.380279541,-0.8881073,0.679153442
7960,0.263656616,-0.876037598,0.510940552
7980,0.172149658,-0.941726685,0.362213135
8000,0.168991089,-0.964736938,0.220840454
8020,0.308685303,-1.090499878,-0.024673462
8040,0.477783203,-1.158172607,-0.22869873
8060,0.588150024,-1.114196777,-0.166168213
8080,0.650024414,-1.148986816,0.530105591
8100,0.300643921,-0.872177124,0.781921387
8120,0.202514648,-0.851150513,0.938308716
8140,0.484466553,-0.882797241,0.423812866
8160,0.576187134,-0.908309937,-1.33895874
8180,0.092834473,-0.757293701,-0.627731323
8200,0.471725464,-0.668716431,-0.325439453
8220,0.626678467,-0.625320435,0.034912109
8240,0.519226074,-0.615234375,0.265319824
8260,0.390625,-1.035644531,-0.112869263
8280,0.202377319,-0.998336792,0.413772583
8300,0.295257568,-1.263076782,0.144195557
8320,0.378707886,-1.163711548,0.215927124
8340,0.543899536,-0.915145874,0.233398438
8360,0.510757446,-0.852264404,0.070648193
8380,0.372192383,-0.709655762,0.015899658
8400,0.250778198,-0.64730835,-0.012130737
8420,0.292495728,-0.760742188,-0.007492065
8440,0.365264893,-0.85697937,0.059768677
8460,0.448608398,-0.934204102,0.128799438
8480,0.463867188,-0.939575195,0.170166016
8500,0.428466797,-0.93296814,0.07800293
8520,0.444793701,-0.960861206,0.023696899
8540,0.465026855,-0.983810425,0.007522583
8560,0.426574707,-0.971237183,0.033172607
8580,0.384246826,-0.975387573,0.027282715
8600,0.347976685,-1.014785767,0.036697388
8620,0.365890503,-1.054946899,0.023300171
8640,0.412185669,-1.116958618,0.050323486
8660,0.470413208,-1.161682129,0.164962769
8680,0.529388428,-1.161834717,0.183441162
8700,0.627685547,-1.149230957,0.11265564
8720,0.613327026,-1.153137207,0.110092163
8740,0.442474365,-1.057876587,0.20010376
8760,0.484237671,-0.97164917,0.120666504
8780,0.537521362,-0.920654297,0.031494141
8800,0.637374878,-0.886062622,-0.069763184
8820,0.731140137,-0.944396973,-0.082366943
8840,0.780548096,-0.992324829,-0.001556396
8860,0.779449463,-0.984924316,0.017807007
8880,0.735275269,-1.021591187,0.015106201
8900,0.543716431,-0.945892334,0.033950806
8920,0.477432251,-0.850265503,0.015441895
8940,0.418869019,-0.807571411,-0.016845703
8960,0.389007568,-0.757095337,-0.016952515
8980,0.405227661,-0.750869751,-0.012802124
9000,0.405166626,-0.767272949,-0.002792358
9020,0.418624878,-0.841949463,0.014221191
9040,0.447128296,-0.930114746,0.023498535
9060,0.444351196,-0.940383911,0.063766479
9080,0.414932251,-0.930023193,0.118484497
9100,0.395278931,-0.940963745,0.11895752
9120,0.369812012,-0.971359253,0.131439209
9140,0.292449951,-0.96496582,0.216278076
9160,0.311294556,-0.917938232,0.18838501
9180,0.325408936,-0.913879395,0.132598877
9200,0.24130249,-0.825027466,0.135940552
9220,0.175079346,-0.790252686,0.18737793
9240,0.060302734,-0.807815552,0.340484619
9260,0.002304077,-0.801193237,0.481582642
9280,0.240234375,-0.87538147,0.555496216
9300,0.533782959,-0.962844849,0.545150757
9320,0.734573364,-0.897949219,0.528442383
9340,0.755081177,-0.802062988,0.566268921
9360,0.715026855,-0.852371216,0.447235107
9380,0.649841309,-0.910095215,0.341171265
9400,0.512985229,-1.021011353,0.169174194
9420,0.441116333,-1.01121521,-0.001541138
9440,0.360870361,-1.047012329,0.030029297
9460,0.307922363,-1.184738159,0.236587524
9480,0.521972656,-1.090148926,0.761932373
9500,0.327072144,-0.883895874,0.000106812
9520,0.414352417,-0.975448608,-0.12387085
9540,0.284866333,-0.928329468,-0.398468018
9560,0.338989258,-0.926544189,-0.621200562
9580,0.267181396,-0.985656738,-0.630020142
9600,0.304107666,-0.994247437,-0.186462402
9620,0.269714355,-0.939163208,0.177947998
9640,0.246353149,-0.936355591,0.22694397
9660,0.093215942,-0.842926025,0.526184082
9680,0.153167725,-0.914871216,0.021072388
9700,0.290084839,-0.807159424,-0.037124634
9720,0.420852661,-0.760162354,0.046035767
9740,0.47076416,-0.781921387,-0.028457642
9760,0.465393066,-0.79397583,-0.114379883
9780,0.508575439,-0.847473145,-0.132446289
9800,0.412612915,-0.904602051,-0.025802612
9820,0.340515137,-0.920974731,-0.012207031
9840,0.326309204,-0.914031982,0.038742065
9860,0.368148804,-0.887374878,-0.014587402
9880,0.303466797,-0.924667358,0.009262085
9900,0.297607422,-0.888442993,-0.07572937
9920,0.268112183,-0.865341187,-0.032180786
9940,0.287399292,-0.854553223,0.000976563
9960,0.3228302,-0.911270142,0.017486572
9980,0.424972534,-0.969314575,0.010955811
10000,0.504776001,-1.043426514,-0.130813599
